record_id,human_title_abstract,human_final,chatgpt_title_abstract,gemini_title_abstract,chatgpt_full_text_tf,gemini_full_text_tf,chatgpt_title_abstract_missing,gemini_title_abstract_missing,chatgpt_full_text_tf_missing,gemini_full_text_tf_missing
SR3-6247a5d43969376b,0,0,0,0,0,0,0,0,1,1
SR3-e0972be820f011e9,1,1,1,1,1,1,0,0,0,0
SR3-8c3960c9575bb6a2,0,0,1,0,1,0,0,0,0,0
SR3-f497c8c81aedea90,0,0,1,1,0,0,0,0,0,0
SR3-11c0668215cdef6a,0,0,0,0,0,0,0,0,1,1
SR3-bbf4371d640a0c0a,0,0,1,1,0,0,0,0,1,1
SR3-a84e7251adce2713,0,0,1,1,1,1,0,0,0,0
SR3-f3b69f7b57f946b0,0,0,0,0,0,0,0,0,1,1
SR3-4b8499b6e50920a4,0,0,0,0,0,0,0,0,1,1
SR3-75485a8d3d7cadbb,0,0,0,0,0,0,0,0,1,1
SR3-1c40bacc41aec67d,0,0,1,1,1,1,0,0,0,0
SR3-0bb3d50f8840a05d,0,0,0,0,0,0,0,0,1,1
SR3-44ad9ca0673c1455,0,0,0,0,0,0,0,0,1,1
SR3-d55643a7b185229a,0,0,0,0,0,0,0,0,1,1
SR3-3a4270a210c9359e,1,1,1,1,1,1,0,0,0,0
SR3-d30295fa76f0ff65,0,0,1,1,1,1,0,0,0,0
SR3-4c55c28613870cd9,0,0,1,0,0,0,0,0,0,0
SR3-fe0c143b74329af5,0,0,1,0,0,0,0,0,0,0
SR3-31a8a0926a62da1b,0,0,0,0,0,0,0,0,1,1
SR3-dc4d1b8743c849be,0,0,0,0,0,0,0,0,1,1
SR3-8e01e6280f25ecb6,0,0,0,0,0,0,0,0,1,1
SR3-ed5826ceb988bd2c,0,0,1,0,0,0,0,0,1,1
SR3-2cf3e9e496793de8,0,0,0,0,0,0,0,0,1,1
SR3-5500e3a96bb4ab2c,0,0,1,1,0,0,0,0,1,1
SR3-f8222c6edb1c23db,0,0,0,0,0,0,0,0,1,1
SR3-4f8bc61ac7b5076a,0,0,1,0,0,0,0,0,0,0
SR3-edd485921786ed2d,0,0,0,1,0,0,0,0,1,1
SR3-a69120967e8e477c,1,1,1,1,1,1,0,0,0,0
SR3-1151f21e83554a45,0,0,0,0,0,0,0,0,1,1
SR3-e5aeffdabc60fa14,0,0,1,0,0,0,0,0,1,1
SR3-a95f9a5fe06abf6c,0,0,0,0,0,0,0,0,1,1
SR3-6e7d6b6d4d602e1d,0,0,0,0,0,0,0,0,1,1
SR3-3c2f655af32548a5,0,0,0,0,0,0,0,0,1,1
SR3-024bac30f052ce7c,0,0,0,0,0,0,0,0,1,1
SR3-394e33ace7e83558,1,1,1,1,1,1,0,0,0,0
SR3-22b109c805dd6193,0,0,0,0,0,0,0,0,1,1
SR3-c6a463d4888a7441,0,0,1,1,1,0,0,0,0,0
SR3-f23cbae99a1df73d,0,0,0,0,0,0,0,0,1,1
SR3-87b7f3a6326b61bf,0,0,1,1,0,0,0,0,1,1
SR3-986b812baf980777,1,1,1,1,1,1,0,0,0,0
SR3-5931b275e5dda28a,0,0,0,0,0,0,0,0,1,1
SR3-1690883d0c576b47,1,1,1,1,0,0,0,0,1,1
SR3-fc3eb2f6d00269ac,0,0,0,0,0,0,0,0,1,1
SR3-7d96810b1712c7f3,0,0,1,0,0,0,0,0,1,1
SR3-40a329b2ca40f3d1,0,0,0,1,0,0,0,0,1,1
SR3-085e7240cba54fad,0,0,1,1,1,0,0,0,0,0
SR3-2244f3298f7b891a,0,0,0,0,0,0,0,0,1,1
SR3-94dafb77cec5a0fe,0,0,1,1,0,0,0,0,1,1
SR3-76fa6e2f1ae4c110,1,1,1,1,1,1,0,0,0,0
SR3-baea5591e8eb8287,0,0,1,0,1,0,0,0,0,0
SR3-460949243dc8832d,0,0,1,0,0,0,0,0,1,1
SR3-04fa2268dc7fb67b,0,0,0,0,0,0,0,0,1,1
SR3-744c478672459961,0,0,0,0,0,0,0,0,1,1
SR3-9622598fdf2e5a77,0,0,0,0,0,0,0,0,1,1
SR3-cf98ff1f256afbf4,1,1,1,1,0,0,0,0,1,1
SR3-82b3e7945f8b14b7,0,0,0,0,0,0,0,0,1,1
SR3-1984b11613535d2b,0,0,0,0,0,0,0,0,1,1
SR3-af7bccc9c2358ce2,0,0,0,0,0,0,0,0,1,1
SR3-cc1b3680c0a1efc3,1,1,1,1,1,1,0,0,0,0
SR3-0e9b3aff38e16e72,0,0,0,0,0,0,0,0,1,1
SR3-1dda084653fb7d97,0,0,1,1,0,0,0,0,1,1
SR3-5aee93371ec79054,0,0,0,0,0,0,0,0,1,1
SR3-f5eae8e0238e8efe,0,0,1,1,0,0,0,0,1,1
SR3-57fd68d75aed76da,0,0,1,1,0,0,0,0,1,1
SR3-9f7880d7c8bbaea2,0,0,0,1,0,0,0,0,1,1
SR3-53033393d7c175c3,0,0,0,0,0,0,0,0,1,1
SR3-49d25f03ae582e60,0,0,0,0,0,0,0,0,1,1
SR3-17683f918cffd0f0,0,0,0,0,0,0,0,0,1,1
SR3-7524ec03b53b62a6,1,1,1,1,1,1,0,0,0,0
SR3-4496233ebaeebc3b,1,0,1,1,0,0,0,0,1,1
SR3-8e25f828f4ba05c4,0,0,0,0,0,0,0,0,1,1
SR3-7f96958cf1b919d8,1,0,1,1,1,1,0,0,0,0
SR3-35891b0e7c518caa,0,0,1,1,1,1,0,0,0,0
SR3-c8832b23fd928103,0,0,0,0,0,0,0,0,1,1
SR3-21e96faeed0ddd7a,1,1,1,1,1,1,0,0,0,0
SR3-eb639b1d52bd4b61,0,0,1,0,0,0,0,0,0,0
SR3-c54f44af057758e8,0,0,1,1,0,0,0,0,1,1
SR3-9c3862cf747c2303,0,0,0,0,0,0,0,0,1,1
SR3-698f21be2a217e79,0,0,0,0,0,0,0,0,1,1
SR3-9b6331b238c07d2d,0,0,1,1,0,0,0,0,1,1
SR3-92a9876c119f4d7b,0,0,1,1,1,1,0,0,0,0
SR3-8a2057850c46f80f,0,0,0,0,0,0,0,0,1,1
SR3-e45005e5b1a02c03,0,0,1,1,1,1,0,0,0,0
SR3-ff0721b54b8fcf24,0,0,1,0,0,0,0,0,0,0
