record_id,human_final,chatgpt_title_abstract,gemini_title_abstract,chatgpt_full_text_ntf,gemini_full_text_ntf,chatgpt_full_text_ntf_missing,gemini_full_text_ntf_missing
SR2-aaa12416174dc516,0,0,0,0,0,1,1
SR2-5242f1f5f1ced13b,0,0,0,0,0,1,1
SR2-b72199f1f951c489,0,1,0,1,0,0,0
SR2-304bd38e0c7131d5,0,0,0,0,0,1,1
SR2-2a226004d3356301,0,0,0,0,0,1,1
SR2-e72334285c59cc33,0,0,0,0,0,1,1
SR2-3db0d352b0d62b7e,1,1,1,1,1,0,0
SR2-5b73bdc8fbe34e96,0,0,1,0,0,1,1
SR2-36b433efcf020c9d,0,0,0,0,0,1,1
SR2-73db130a17447c67,0,0,1,0,0,1,1
SR2-3a3f75aeac19ca7e,0,0,1,0,0,1,1
SR2-4365e9021fcb47cd,0,0,0,0,0,1,1
SR2-f678ca6d75901e01,0,0,0,0,0,1,1
SR2-743c5ce6bbedee74,0,1,0,1,0,0,0
SR2-c10a0974fd6c4c87,0,0,0,0,0,1,1
SR2-ffcdfbe34f797ee3,0,0,0,0,0,1,1
SR2-58cfd4cb7aca73f9,0,0,0,0,0,1,1
SR2-9e825967c54ff054,0,1,1,1,1,0,0
SR2-d5497546428ebb64,0,0,0,0,0,1,1
SR2-d9ca21688f46bbe5,0,0,0,0,0,1,1
SR2-b34af632cccb295c,0,0,0,0,0,1,1
SR2-98359a1456adf4b6,0,1,1,1,0,0,0
SR2-50ce1c9ed6f02016,0,0,0,0,0,1,1
SR2-4e70e46005eafa27,0,0,0,0,0,1,1
SR2-3d0184901f96ca85,0,0,0,0,0,1,1
SR2-9391a8b63ee4b0a5,0,0,0,0,0,1,1
SR2-4191ac9673940099,0,0,0,0,0,1,1
SR2-3aeaa7c6cce96f26,0,0,0,0,0,1,1
SR2-eeaea9e9088f266d,0,0,0,0,0,1,1
SR2-16e393daf4d4b8a7,0,0,0,0,0,1,1
SR2-65b398f919fffaac,0,0,1,0,0,1,1
SR2-38c6a9222f135f0e,0,0,0,0,0,1,1
SR2-ee6eb7e6f1e985cc,0,0,0,0,0,1,1
SR2-ed786cbbc009e18d,0,0,0,0,0,1,1
SR2-e368c70d4d54198e,0,0,0,0,0,1,1
SR2-c94e5887de510beb,0,0,0,0,0,1,1
SR2-49b709414808573a,0,0,0,0,0,1,1
SR2-79da823592bade81,0,0,1,0,0,1,1
SR2-684a45a6600e6b38,0,0,0,0,0,1,1
SR2-2bfc4772f97bb8ae,0,0,0,0,0,1,1
SR2-2b1f97cddffffef3,0,0,1,0,0,1,1
SR2-e28344c8d2601d3d,0,0,0,0,0,1,1
SR2-ccd80a64b5ab02f3,0,0,0,0,0,1,1
SR2-e9daa0e31ede9f88,0,0,1,0,0,1,1
SR2-024254c8ace0d8d3,0,0,0,0,0,1,1
SR2-aeefa9cd58d0d970,0,0,0,0,0,1,1
SR2-a72321cdf50ad415,0,0,0,0,0,1,1
SR2-b02f6bb134501545,0,0,0,0,0,1,1
SR2-43406e14a374624f,0,0,0,0,0,1,1
SR2-338daae203904590,0,1,1,1,1,0,0
SR2-eff004476ded2ae8,0,0,0,0,0,1,1
SR2-4f9d06299e773c5e,0,0,1,0,0,1,1
SR2-8ad12dd2b16135ad,0,0,1,0,0,1,1
SR2-310af10dfaf2eccd,0,0,0,0,0,1,1
SR2-c95da2b23bf99b78,0,0,0,0,0,1,1
SR2-6a7bf42e3f12b20a,0,0,0,0,0,1,1
SR2-e270e890ae8859b8,0,0,0,0,0,1,1
SR2-57c723c1fd00bcdb,0,0,0,0,0,1,1
SR2-554eb1762e91ad2f,0,0,0,0,0,1,1
SR2-432879b0a2c6300f,0,0,0,0,0,1,1
SR2-49eee2a39613b8ad,0,0,0,0,0,1,1
SR2-094c5a92c845add9,0,0,0,0,0,1,1
SR2-500cdee8b06a73c7,0,1,1,1,1,0,0
SR2-b9f62ecadd7349e6,0,1,0,0,0,0,0
SR2-1ee6562ecad44f83,0,0,0,0,0,1,1
SR2-c20ff4ac9801c107,0,1,1,1,1,0,0
SR2-0aae75c0ecae0d30,0,0,1,0,0,1,1
SR2-dff136559fe83472,0,0,0,0,0,1,1
SR2-ea8a560e81e2da43,0,0,1,0,0,1,1
SR2-38e3ef777f87dd38,0,0,0,0,0,1,1
SR2-ff6a7bb1a594253c,0,0,0,0,0,1,1
SR2-4656c91f41cb1560,0,0,1,0,0,1,1
SR2-ce97fa1a2517f1ce,0,0,0,0,0,1,1
SR2-d00c576293d26008,0,0,0,0,0,1,1
SR2-de0f7912afaffee5,0,0,1,0,0,1,1
SR2-30429a54c2d5e8ed,0,0,1,0,0,1,1
SR2-2113de73b6ca00b7,0,0,0,0,0,1,1
SR2-7bdd1c50423acd97,0,0,0,0,0,1,1
SR2-5def0e6a82b5a273,0,0,0,0,0,1,1
SR2-36692acd1318b3ce,0,0,0,0,0,1,1
SR2-b0c2c8d6710b7aef,0,0,1,0,0,1,1
SR2-c67a9d37588c577c,0,0,1,0,0,1,1
SR2-871fd96f627fffa3,0,0,0,0,0,1,1
SR2-d58b52391b5d2a14,0,0,0,0,0,1,1
SR2-13f4597e4bc985b4,0,0,1,0,0,1,1
SR2-535f760dff3939fe,0,0,0,0,0,1,1
SR2-961293e590b4001f,0,0,0,0,0,1,1
SR2-b2d4e6816bc3222e,0,0,0,0,0,1,1
SR2-0d5be4aef8336bd5,0,1,1,1,1,0,0
SR2-5ee5c7f5ee1a6ba9,0,0,0,0,0,1,1
SR2-2401f1740781054b,0,0,0,0,0,1,1
SR2-9100a891bc33f30a,0,0,1,0,0,1,1
SR2-a4154657ba8be7aa,0,0,0,0,0,1,1
SR2-032da3a66992bf61,0,0,0,0,0,1,1
SR2-823bcac48c0785b9,0,0,0,0,0,1,1
SR2-e4f19416ed9ac684,0,0,0,0,0,1,1
SR2-371a20d2b029a3b7,0,0,0,0,0,1,1
SR2-c586fb57ce640424,0,0,0,0,0,1,1
SR2-f10f30f8b53ddfc5,0,0,0,0,0,1,1
SR2-d714e73f3994838c,0,0,0,0,0,1,1
SR2-67f73bbcd1d5ebe9,0,0,0,0,0,1,1
SR2-a32457c63da04155,0,0,0,0,0,1,1
SR2-edc14c9243d190b8,0,0,0,0,0,1,1
SR2-781dddfb74819df5,0,0,1,0,0,1,1
SR2-0bba777d9cb44c9a,0,0,0,0,0,1,1
SR2-87f3d009526ee432,0,0,0,0,0,1,1
SR2-4e042c2715d8af4c,0,0,1,0,0,1,1
SR2-7585670541cd06f7,0,0,0,0,0,1,1
SR2-3e7477908c3cea32,0,0,0,0,0,1,1
SR2-7368d230a68fc7e9,0,0,0,0,0,1,1
SR2-aed68595703b2d01,0,0,0,0,0,1,1
SR2-6cdc8bcdb07d2911,0,0,0,0,0,1,1
SR2-a89570cefe23b9ed,0,0,0,0,0,1,1
SR2-516f01b3caa69b5a,0,0,0,0,0,1,1
SR2-f5897c38a7235723,0,0,0,0,0,1,1
SR2-b55bb3fa2f0d01bf,0,0,0,0,0,1,1
SR2-17f1ff1890b2073e,1,1,1,1,1,0,0
SR2-da55f6f7ff80a73e,0,0,1,0,0,1,1
SR2-f7a59cdefe431917,0,0,0,0,0,1,1
SR2-eca50eeb592c6cd2,0,0,0,0,0,1,1
SR2-fd7f0e624fb0f38a,0,0,1,0,0,1,1
SR2-1efffb4bd26a0701,0,0,0,0,0,1,1
SR2-3a704fb4f42a8167,0,0,0,0,0,1,1
SR2-9b6ee7e760d8fca1,0,0,1,0,0,1,1
SR2-bc23f452beb1c0d9,0,0,0,0,0,1,1
SR2-431813747440ae6b,0,0,0,0,0,1,1
