record_id,human_title,human_title_abstract,human_final,chatgpt_title,gemini_title,chatgpt_title_abstract,gemini_title_abstract,chatgpt_full_text_tf,gemini_full_text_tf,chatgpt_one_shot,gemini_one_shot,chatgpt_title_missing,gemini_title_missing,chatgpt_title_abstract_missing,gemini_title_abstract_missing,chatgpt_full_text_tf_missing,gemini_full_text_tf_missing,chatgpt_one_shot_missing,gemini_one_shot_missing
SR1-2cade7af9c408af2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-94b9f2113eacde40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-c70b7e09a97bb631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-5b25f71e98d8b5ab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-0f385e2cc31a167f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-413015ca49fb00f8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-039b20f5123c1eec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-a3f527368b1db65e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-52f2a25764c41100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-14e76560a160af13,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SR1-7de3f092aa5483e0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SR1-31e7d2a0f48205d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-bead87d474eea401,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SR1-5c8d4f0fb4aefdfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-bf92a354d7f43ac7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-b939321bb5d31cf9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-6103c85c4241b052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-40ec53291bc6adde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-5657b406d51ae007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-c6cf6c80766d293b,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SR1-1186905e6f9ff87b,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
SR1-4310f07de3367c8c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-e4f138def911ed02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-9569f145af7aa8e4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-2ae2765e173b6926,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-f9d96a4946ec1d8b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-286ab2c11a984202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-86e39d63be5b16be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-a8e34aa7650e7628,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-1b6b4502eb4a0e44,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
SR1-a8b5a43f8d297f6d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-449fff17a2e81bdf,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
SR1-9935063a54ea762d,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SR1-4e7bce1864c3377b,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SR1-ab55a880a6b231f5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-008b08ec398be50d,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
SR1-6c5c7b43afbc4979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-9e2d97ecd3afceed,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SR1-e9d1ecf088688437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-ea5a545d64802302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-ca41751133559acb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-1897c38d92b3f5ce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-da7bf587c7887db7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-81f4ac8bd00ec387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-712a4a6d662a0a6a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-06bb6f866fbc270a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SR1-c80f374e099a26fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SR1-0d64b701bdfe535c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-fa856cdc07aa0491,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
SR1-a62215a1cfff9279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-b0c92e348d789820,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-da9c68713df7557d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-f2bf8320059a3a07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-3bf65ffdfd6ddd96,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-24b1a25ddaa83f55,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
SR1-a6ad53bdf1a9435a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-7083a950a2eb60ec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-01b8fbb98bc57eda,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SR1-4646f14bd37e71df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-4a986ac8fd20283e,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
SR1-c5a27b8bfa30ea45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SR1-c55fb89c33cd6c64,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SR1-fc07fef9670faf26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SR1-ae93be54a06722ba,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
SR1-177cf85b1782bcb4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-cfd04ee32814219a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-243cfeb53f524f8a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-3dadd173fe6b5810,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SR1-99413e2696ca1615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-1138f8a32c320c52,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
SR1-c19c612ea4a88df7,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
SR1-cc2508f2239361ea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-2b7644a4110139d8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR1-326d0a305e1f2347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
